linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,n_cells,pct
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2041-2060,310.41183090305435,37.261830903054374,190,7305,1,2.6
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,historical,1995-2014,310.41183090305435,37.261830903054374,74,7305,1,1.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2021-2040,310.41183090305435,37.261830903054374,111,7305,1,1.52
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2031-2050,310.41183090305435,37.261830903054374,117,7305,1,1.6
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2041-2060,310.41183090305435,37.261830903054374,113,7305,1,1.55
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2021-2040,310.41183090305435,37.261830903054374,99,7305,1,1.36
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2031-2050,310.41183090305435,37.261830903054374,132,7305,1,1.81
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2041-2060,310.41183090305435,37.261830903054374,206,7305,1,2.82
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2021-2040,310.41183090305435,37.261830903054374,121,7305,1,1.66
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2031-2050,310.41183090305435,37.261830903054374,141,7305,1,1.93
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2041-2060,310.41183090305435,37.261830903054374,190,7305,1,2.6
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,historical,1995-2014,311.602451193677,38.45245119367701,126,7305,2,1.72
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2021-2040,311.602451193677,38.45245119367701,143,7305,2,1.96
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2031-2050,311.602451193677,38.45245119367701,172,7305,2,2.35
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2041-2060,311.602451193677,38.45245119367701,163,7305,2,2.23
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2021-2040,311.602451193677,38.45245119367701,149,7305,2,2.04
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2031-2050,311.602451193677,38.45245119367701,208,7305,2,2.85
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2041-2060,311.602451193677,38.45245119367701,291,7305,2,3.98
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2021-2040,311.602451193677,38.45245119367701,177,7305,2,2.42
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2031-2050,311.602451193677,38.45245119367701,195,7305,2,2.67
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2041-2060,311.602451193677,38.45245119367701,243,7305,2,3.33
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,historical,1995-2014,311.602451193677,38.45245119367701,126,7305,2,1.72
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2021-2040,311.602451193677,38.45245119367701,143,7305,2,1.96
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2031-2050,311.602451193677,38.45245119367701,172,7305,2,2.35
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2041-2060,311.602451193677,38.45245119367701,163,7305,2,2.23
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2021-2040,311.602451193677,38.45245119367701,149,7305,2,2.04
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2031-2050,311.602451193677,38.45245119367701,208,7305,2,2.85
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2041-2060,311.602451193677,38.45245119367701,291,7305,2,3.98
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2021-2040,311.602451193677,38.45245119367701,177,7305,2,2.42
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2031-2050,311.602451193677,38.45245119367701,195,7305,2,2.67
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2041-2060,311.602451193677,38.45245119367701,243,7305,2,3.33
LT 88 kV OURINHOS / CHAVANTES C 1 SP,historical,1995-2014,314.4534579264323,41.303457926432316,74,7305,1,1.01
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2021-2040,314.4534579264323,41.303457926432316,80,7305,1,1.1
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2041-2060,314.4534579264323,41.303457926432316,69,7305,1,0.94
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2021-2040,314.4534579264323,41.303457926432316,62,7305,1,0.85
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2041-2060,314.4534579264323,41.303457926432316,128,7305,1,1.75
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2021-2040,314.4534579264323,41.303457926432316,73,7305,1,1.0
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2031-2050,314.4534579264323,41.303457926432316,87,7305,1,1.19
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2041-2060,314.4534579264323,41.303457926432316,106,7305,1,1.45
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,historical,1995-2014,316.2416374893894,43.09163748938943,180,7305,3,2.46
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2021-2040,316.2416374893894,43.09163748938943,191,7305,3,2.61
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2031-2050,316.2416374893894,43.09163748938943,230,7305,3,3.15
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2041-2060,316.2416374893894,43.09163748938943,203,7305,3,2.78
